index	hemi	name	color	fs_index	fs_name
1362101	R	S_orbital_med-olfact	#b5c814ff	12164	ctx_rh_S_orbital_med-olfact
1315941	R	S_orbital-H_Shaped	#651414ff	12165	ctx_rh_S_orbital-H_Shaped
11822181	R	S_parieto_occipital	#6564b4ff	12166	ctx_rh_S_parieto_occipital
1367221	R	S_pericallosal	#b5dc14ff	12167	ctx_rh_S_pericallosal
13143061	R	S_postcentral	#158cc8ff	12168	ctx_rh_S_postcentral
15733781	R	S_precentral-inf-part	#1514f0ff	12169	ctx_rh_S_precentral-inf-part
13112341	R	S_precentral-sup-part	#1514c8ff	12170	ctx_rh_S_precentral-sup-part
3937301	R	S_suborbital	#15143cff	12171	ctx_rh_S_suborbital
3947621	R	S_subparietal	#653c3cff	12172	ctx_rh_S_subparietal
11842581	R	S_temporal_inf	#15b4b4ff	12173	ctx_rh_S_temporal_inf
3988703	R	S_temporal_sup	#dfdc3cff	12174	ctx_rh_S_temporal_sup
3947741	R	S_temporal_transverse	#dd3c3cff	12175	ctx_rh_S_temporal_transverse
